Parent,child
insights,scheduledqueryrules
insights,metricalerts
insights,alertrules
insights,diagnosticSettings
insights,actiongroups
insights,privateLinkScopes
AlertsManagement,actionRules
Network,localNetworkGateways
Network,routeFilters
Network,vpnSites
Network,vpnServerConfigurations
Network,virtualHubs
Network,p2sVpnGateways
Network,virtualWans
Network,expressRouteProviderPorts
Network,firewallPolicies
Network,virtualRouters
Network,networkVirtualAppliances
Network,networkVirtualApplianceSkus
Network,dnsResolvers
Network,dnsForwardingRulesets
Network,networkManagers
Network,applicationSecurityGroups
Network,publicIPPrefixes
Network,virtualNetworkTaps
Network,privateLinkServices
KeyVault,managedHSMs
Sql,instancePools
Sql,virtualClusters
Maintenance,maintenanceConfigurations
Logic,integrationServiceEnvironments
Cdn,CdnWebApplicationFirewallPolicies
Advisor,configurations
Advisor,recommendations
Advisor,workloads
ChangeAnalysis,changes
EventGrid,eventSubscriptions
EventGrid,topicTypes
EventGrid,namespaces
EventGrid,partnerNamespaces
EventGrid,partnerTopics
Quota,usages
Quota,quotas
Web,staticSites
Web,containerApps
DocumentDB,cassandraClusters
DocumentDB,mongoClusters
App,managedEnvironments
App,connectedEnvironments
AppPlatform,Spring
Authorization,locks
Authorization,policyDefinitions
AzureLargeInstance,azureLargeInstances
AzureLargeInstance,azureLargeStorageInstances
AzureStackHCI,virtualMachines
AzureStackHCI,clusters
AzureStackHCI,virtualMachineInstances
BareMetalInfrastructure,bareMetalInstances
BareMetalInfrastructure,bareMetalStorageInstances
Bing,accounts
BotService,botServices
Cache,redisEnterprise
Compute,availabilitySets
Compute,proximityPlacementGroups
Compute,snapshots
Compute,images
Compute,hostGroups
ContainerService,fleets
DataBox,jobs
DataBoxEdge,DataBoxEdgeDevices
DataLakeAnalytics,accounts
DataLakeStore,accounts
DataShare,accounts
DBforPostgreSQL,serverGroupsv2
DesktopVirtualization,workspaces
DevAI,instances
DevCenter,devcenters
DevTestLab,labs
Easm,workspaces
Elastic,monitors
ElasticSan,elasticSans
Fabric,capacities
FluidRelay,fluidRelayServers
HanaOnAzure,hanaInstances
HardwareSecurityModules,cloudHsmClusters
HDInsight,clusterpools
HDInsight,clusters
HealthBot,healthBots
HealthcareApis,workspaces
IntegrationSpaces,Spaces
MachineLearning,Workspaces
MachineLearning,webServices
MachineLearningServices,capacityReservationGroups
Management,resources
Maps,accounts
MixedReality,spatialAnchorsAccounts
MixedReality,remoteRenderingAccounts
MixedReality,objectAnchorsAccounts
Monitor,accounts
NetworkCloud,clusterManagers
NetworkCloud,racks
NetworkCloud,clusters
NetworkCloud,bareMetalMachines
NetworkCloud,virtualMachines
NetworkCloud,cloudServicesNetworks
NetworkCloud,storageAppliances
NetworkCloud,trunkedNetworks
NetworkCloud,l3Networks
NetworkCloud,volumes
NetworkCloud,kubernetesClusters
NetworkFunction,meshVpns
NotificationHubs,namespaces
Orbital,spacecrafts
Orbital,groundStations
Orbital,globalCommunicationsSites
Orbital,l2Connections
Orbital,edgeSites
Peering,peerings
Purview,accounts
Quantum,Workspaces
RedHatOpenShift,OpenShiftClusters
Resources,tags
Resources,deployments
ServiceFabric,managedclusters
ServiceFabricMesh,applications
ServiceFabricMesh,networks
ServiceFabricMesh,volumes
ServiceFabricMesh,secrets
ServiceFabricMesh,gateways
ServiceNetworking,trafficControllers
ServicesHub,workspaces
SignalRService,WebPubSub
Singularity,accounts
SqlVirtualMachine,SqlVirtualMachineGroups
SqlVirtualMachine,SqlVirtualMachines
StorageCache,caches
StreamAnalytics,clusters
Subscription,policies
TestBase,testBaseAccounts
VideoIndexer,accounts
