location,availabilityZones
australiaeast,yes
brazilsouth,yes
canadacentral,yes
centralindia,yes
centralus,yes
eastasia,yes
eastus,yes
eastus2,yes
francecentral,yes
germanywestcentral,yes
israelcentral,yes
italynorth,yes
japaneast,yes
koreacentral,yes
northeurope,yes
norwayeast,yes
polandcentral,yes
qatarcentral,yes
southafricanorth,yes
southcentralus,yes
southeastasia,yes
swedencentral,yes
switzerlandnorth,yes
uaenorth,yes
uksouth,yes
westeurope,yes
westus2,yes
westus3,yes
usgovvirginia,yes
chinanorth3,yes
northcentralus,no
westcentralus,no
canadaeast,no
brazilsoutheast,no
ukwest,no
francesouth,no
germanycentral,no
germanynortheast,no
germanynorth,no
norwaywest,no
switzerlandwest,no
swedensouth,no
spaincentral,no
austriaeast,no
japanwest,no
koreasouth,no
australiasoutheast,no
australiacentral,no
australiacentral2,no
southindia,no
westindia,no
chinanorth,no
chinaeast,no
chinanorth2,no
chinaeast2,no
usgoviowa,no
usgovarizona,no
usgovtexas,no
usdodcentral,no
usdodeast,no
southafricawest,no
uaecentral,no
